Location,Transect,Quadrat,Record_location,Canopy_cover,Leaf_litter_cover,Live_plant_cover,Species,Age,Condition,Recruitment,Multi_stemmed,Height_(m),Average_height,Height_variation,DBH,Average_DBH,DBH_variation,Cone_presence,Cone_number,Ort_number,Ort_colour,Latitude,Longitude,Year_measured
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.78,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.47,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.76,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.79,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.84,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,mature,alive,basal,1,2.28,1.2,2.3328,13.369,13.369,0,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,sapling,alive,none,0,1.1,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,sapling,alive,none,0,1.28,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,sapling,alive,none,0,1.15,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,sapling,alive,none,0,1.04,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.54,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.79,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.92,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.5,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.4,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.5,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.68,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.82,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.89,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.53,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB1,40,out,NA,NA,NA,torulosa,seedling,alive,none,0,0.69,NA,NA,NA,NA,NA,N,0,NA,NA,-27.317772,152.2245911,2022
Deongwar,DB2,0,in,NA,NA,NA,torulosa,mature,alive,trunk,1,10.42,4.91,22.8121,12.414,4.997666667,41.67725633,N,0,NA,NA,-27.31878,152.22469,2022
Deongwar,DB2,10,in,NA,NA,NA,torulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.3188747,152.2247194,2022
Deongwar,DB2,20,out,NA,NA,NA,torulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.3189642,152.2247364,2022
Deongwar,DB2,30,in,NA,NA,NA,torulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.3180502,152.2247675,2022
Deongwar,DB2,30,out,NA,NA,NA,torulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.3180502,152.2247675,2022
Deongwar,DB2,40,in,NA,NA,NA,torulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.3191349,152.2248048,2022
Deongwar,DB2,40,out,NA,NA,NA,torulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.3191349,152.2248048,2022
Deongwar,DB3,0,in,NA,NA,NA,torulosa,sapling,dead,basal,1,2.8,2.443333333,1.085433333,1.592,1.512,0.0128,N,0,NA,NA,-27.31875,152.22723,2022
Deongwar,DB3,0,out,NA,NA,NA,torulosa,sapling,alive,basal,1,2.1,1.67,0.3698,0.477,0.477,0,N,0,NA,NA,-27.31875,152.22723,2022
Deongwar,DB3,10,in,NA,NA,NA,torulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,0,NA,NA,-27.3187928,152.2273148,2022
Deongwar,DB3,10,out,NA,NA,NA,torulosa,mature,alive,none,0,14,NA,NA,18.939,NA,NA,N,0,NA,NA,-27.3187928,152.2273148,2022
Deongwar,DB3,10,out,NA,NA,NA,torulosa,mature,dead,basal,1,2.4,1.786,0.14773,1.751,1.835333333,2.641086333,N,0,NA,NA,-27.3187928,152.2273148,2022
Deongwar,DB3,20,in,NA,NA,NA,torulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.318826,152.227409,2022
Deongwar,DB3,20,out,NA,NA,NA,torulosa,mature,dead,basal,1,1.25,4.005,15.18005,3.247,3.247,0,N,0,NA,NA,-27.318826,152.227409,2022
Deongwar,DB3,20,out,NA,NA,NA,torulosa,mature,dead,basal,1,2.99,2.99,0,1.592,1.751,0.050562,N,0,NA,NA,-27.318826,152.227409,2022
Deongwar,DB3,20,out,NA,NA,NA,torulosa,sapling,alive,none,0,2.2,NA,NA,1.496,NA,NA,N,0,NA,NA,-27.318826,152.227409,2022
Deongwar,DB3,20,out,NA,NA,NA,torulosa,mature,alive,basal,1,2.64,2.17,0.4418,3.979,2.7855,2.8488845,N,0,NA,NA,-27.318826,152.227409,2022
Deongwar,DB3,20,out,NA,NA,NA,torulosa,mature,dead,basal,1,2.1,2.946666667,3.097633333,0.796,1.697666667,1.679942333,N,0,NA,NA,-27.318826,152.227409,2022
Deongwar,DB3,30,in,NA,NA,NA,torulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.3188612,152.2275024,2022
Deongwar,DB3,30,out,NA,NA,NA,torulosa,mature,dead,basal,1,3.17,3.313333333,1.491633333,0.955,2.132333333,1.982426333,N,0,NA,NA,-27.3188612,152.2275024,2022
Deongwar,DB3,40,in,NA,NA,NA,torulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,0,NA,NA,-27.3188734,152.2276047,2022
Deongwar,DB3,40,out,NA,NA,NA,torulosa,mature,dead,basal,1,3.5,2.7575,0.834425,1.75,2.08475,0.63983425,N,0,NA,NA,-27.3188734,152.2276047,2022
Deongwar,DB3,40,out,NA,NA,NA,torulosa,mature,dead,basal,1,1.7,1.785,0.253966667,0.318,1.421666667,3.446432333,N,0,NA,NA,-27.3188734,152.2276047,2022
Deongwar,DB3,40,out,NA,NA,NA,torulosa,sapling,dead,basal,1,2.16,2.1775,0.873091667,0.955,0.939,0.086628,N,0,NA,NA,-27.3188734,152.2276047,2022
Deongwar,DB3,40,out,NA,NA,NA,torulosa,sapling,dead,basal,1,0.74,1.23,0.4802,NA,0.637,0,N,0,NA,NA,-27.3188734,152.2276047,2022
Deongwar,DB3,40,out,NA,NA,NA,torulosa,sapling,dead,basal,1,1.69,1.55,0.0392,0.955,1.114,0.050562,N,0,NA,NA,-27.3188734,152.2276047,2022
Deongwar,DB3,40,out,NA,NA,NA,torulosa,mature,dead,basal,1,1.44,1.85,1.2181,0.255,1.018666667,1.749560333,N,0,NA,NA,-27.3188734,152.2276047,2022
Deongwar,DB4,0,in,NA,NA,NA,torulosa,mature,alive,basal,1,11,4.597142857,2.54273,3.82,2.864666667,2.624329467,N,0,NA,NA,-27.32695,152.21842,2022
Deongwar,DB4,0,out,NA,NA,NA,torulosa,mature,dead,basal,1,3.4,3.583333333,1.075833333,2.228,2.457666667,1.655616333,N,0,NA,NA,-27.32695,152.21842,2022
Deongwar,DB4,0,out,NA,NA,NA,torulosa,mature,alive,basal,1,3.2,2.05483871,0.205033333,2.546,1.581,0.789925,N,0,NA,NA,-27.32695,152.21842,2022
Deongwar,DB4,0,out,NA,NA,NA,torulosa,mature,dead,basal,1,2.8,2.54,0.1518,2.228,2.4192,0.6890432,N,0,NA,NA,-27.32695,152.21842,2022
Deongwar,DB4,0,out,NA,NA,NA,torulosa,mature,dead,basal,1,3.5,3.333333333,0.583333333,2.865,3.183,4.356604,N,0,NA,NA,-27.32695,152.21842,2022
